"Key No. ","Property Type ","Acquired","Total Mgt. Expenses","Closed","Sale Price"
340332000,"Condominium","2010-07-26",12632.7,"2014-12-19",4586
340543000,"Condominium","2013-12-02",3833.69,"2014-08-08",1000
340622000,"Condominium","2013-12-02",2436.94,"2014-05-14",1120
340706000,"Condominium","2013-10-14",1658.99,"2014-05-14",1120
340820000,"Condominium","2012-10-08",6869.52,"2014-01-21",7129
341093000,"Condominium","2013-08-16",2363.51,"2014-08-08",1000
430178000,"Condominium","2013-08-16",2010.87,"2014-02-17",7129
430302000,"Condominium","2013-12-02",3699.66,"2014-09-05",10277
830663000,"Condominium","2013-12-02",4705.24,"2014-11-05",9191
1170479000,"Single Family","2013-10-14",2064.1,"2014-12-22",67500
1399922100,"Single Family","2012-07-09",3995.37,"2014-05-08",18000
1430623000,"Single Family","2013-12-02",707.22,"2014-07-22",1
1450453000,"Condominium","2012-10-08",5256.76,"2014-04-01",8100
1450462000,"Condominium","2012-07-09",7380.12,"2014-03-31",1005
1450464000,"Condominium","2013-12-02",2091.85,"2014-11-10",9519
1470016000,"Condominium","2013-08-16",2389.35,"2014-06-13",32000
1520210000,"Single Family","2013-12-02",420.25,"2014-11-21",5500
1559992214,"Duplex","2013-10-14",637.2,"2014-05-21",23500
1580346000,"Single Family","2012-07-09",454.1,"2014-02-13",5000
1580387000,"Single Family","2012-10-08",2069.36,"2014-09-25",16647
1700109000,"Single Family","2012-12-17",1664.43,"2014-02-14",9750
1700416000,"Single Family","2013-10-14",712.28,"2014-08-22",10040
1700654000,"Single Family","2013-08-16",544.29,"2014-05-02",15750
1709953000,"Single Family","2013-10-14",617.64,"2014-09-16",14000
1719682000,"Single Family","2012-07-09",877.27,"2014-03-07",7800
1730043000,"Single Family","2014-06-02",429.97,"2014-12-08",1000
1730136000,"Single Family","2013-10-14",3402.57,"2014-07-31",12000
1730162000,"Single Family","2013-12-02",346.05,"2014-10-24",18000
1730163000,"Single Family","2013-12-02",1051.65,"2014-08-13",16875
1740578000,"Single Family","2012-01-30",2037.43,"2014-02-13",12000
1740615000,"Single Family","2013-12-02",198.82,"2014-12-16",6375
1740783000,"Single Family","2011-11-14",3939.29,"2014-05-22",1000
1740836000,"Single Family","2013-12-02",174.12,"2014-10-10",9375
1741111000,"Single Family","2013-10-14",183.93,"2014-09-09",10000
1750242000,"Single Family","2012-07-09",1092.5,"2014-04-22",5250
1750664000,"Single Family","2013-08-16",692.98,"2014-05-23",5280
1820133000,"Condominium","2013-10-14",1017.96,"2014-09-19",13500
1871129000,"Condominium","2013-10-14",1410.22,"2014-07-10",8649
1871180000,"Condominium","2010-07-26",4276.6,"2014-02-25",8529
1880320110,"Single Family","2013-10-14",2802.48,"2014-09-19",16575
1880780000,"Single Family","2014-06-02",676.14,"2014-12-18",5000
1890057000,"Single Family","2013-08-16",2432.63,"2014-01-28",1000
1890150100,"Single Family","2012-07-09",1379.73,"2014-02-04",1000
1909765120,"Duplex","2013-12-02",525.88,"2014-10-17",12000
1910520000,"Single Family","2013-12-02",706.84,"2014-10-01",5048
1910521000,"Single Family","2013-08-16",228.12,"2014-02-04",1000
1910629000,"Single Family","2013-12-02",1448.11,"2014-09-05",1000
1920018000,"Single Family","2013-10-14",981.57,"2014-06-12",1000
1920088000,"Single Family","2013-10-14",1686.74,"2014-08-29",5000
1920304000,"Single Family","2013-08-16",631.25,"2014-02-27",4000
1920355000,"Single Family","2012-07-09",2182.72,"2014-06-06",5000
1920735000,"Single Family","2012-10-08",3657.79,"2014-08-22",2225
1920815000,"Single Family","2012-01-30",2493.58,"2014-10-22",6750
1920818000,"Duplex","2013-08-16",316.22,"2014-01-02",6000
1920821000,"Single Family","2013-10-14",195.29,"2014-08-14",5000
1920833000,"Retail Building","2011-09-16",14400.08,"2014-11-04",20000
1921262000,"Single Family","2013-12-02",123.21,"2014-08-29",5000
1930214000,"Single Family","2011-11-14",804.04,"2014-05-09",2900
1930449000,"Single Family","2013-12-02",1906.92,"2014-09-22",7500
1930809000,"Single Family","2013-10-14",896.41,"2014-08-25",4350
1940007000,"Single Family","2013-10-14",178.91,"2014-11-12",15765
2050183000,"Single Family","2013-10-14",2643.77,"2014-08-29",5000
2050486000,"Duplex","2014-06-02",5331.85,"2014-12-18",5000
2060132000,"Single Family","2012-12-17",1110.7,"2014-04-04",9500
2060525000,"Single Family","2010-07-26",675.63,"2014-03-26",2300
2060673000,"Single Family","2012-10-08",1517.19,"2014-06-11",3300
2060803000,"Single Family","2013-12-02",1051.04,"2014-12-05",8000
2061619000,"Single Family","2013-10-14",1012,"2014-10-29",1047
2061646000,"Single Family","2013-12-02",3236.47,"2014-09-12",5000
2069983000,"Single Family","2013-10-14",2979.56,"2014-12-18",5000
2070208000,"Single Family","2012-07-09",4364.43,"2014-06-06",9075
2070209000,"Duplex","2012-12-17",2986.26,"2014-12-18",5000
2070233000,"Duplex","2013-10-14",3051.73,"2014-10-20",8000
2070264000,"Single Family","2012-01-30",4095.09,"2014-03-27",3100
2070717000,"Single Family","2013-08-16",3409.05,"2014-10-29",14897
2080020000,"Duplex","2012-12-17",1217.81,"2014-02-04",1000
2080677000,"Single Family","2012-07-09",8295.83,"2014-04-25",4050
2081330000,"Single Family","2012-12-17",1425.82,"2014-03-11",7875
2090043000,"Single Family","2013-08-16",243.33,"2014-04-04",8000
2090279000,"Single Family","2012-12-17",1159.82,"2014-02-27",5250
2090355000,"Single Family","2012-10-08",1612.06,"2014-10-30",7500
2090502000,"Duplex","2013-08-16",1071.88,"2014-07-18",3750
2090516000,"Single Family","2013-10-14",1096,"2014-11-21",1000
2091715000,"Single Family","2013-10-14",1493.45,"2014-09-23",11000
2099991000,"Single Family","2012-10-08",1559.06,"2014-02-13",5000
2100073000,"Single Family","2013-08-16",410.55,"2014-03-14",8000
2100147000,"Single Family","2013-10-14",1683.66,"2014-12-18",5000
2100191000,"Single Family","2013-08-16",212.67,"2014-03-10",6400
2100313000,"Single Family","2011-09-16",5492.44,"2014-08-25",5000
2100376000,"Single Family","2013-08-16",2708.17,"2014-01-31",12000
2100506000,"Single Family","2013-10-14",140.95,"2014-07-08",8700
2100702000,"Single Family","2012-10-08",2019.48,"2014-04-25",5000
2101010000,"Single Family","2013-08-16",137.89,"2014-04-14",8914
2110365000,"Duplex","2012-12-17",3089.42,"2014-03-12",26000
2110853000,"Single Family","2013-10-14",1098.2,"2014-12-11",22000
2120723000,"Single Family","2013-12-02",393.87,"2014-12-04",20000
2120853000,"Single Family","2013-10-14",210.17,"2014-07-22",1
2130132000,"Duplex","2012-07-09",3465.22,"2014-12-11",75000
2140901000,"Multi-Family","2012-07-09",15038.55,"2014-12-11",75000
2140902100,"Multi-Family","2012-07-09",28166.48,"2014-12-11",75000
2230601000,"Multi-Family","2012-07-09",21087.61,"2014-12-11",75000
2251085000,"Single Family","2013-10-14",1411.96,"2014-10-27",24000
2251225000,"Single Family","2014-06-02",346.04,"2014-11-19",1
2260297000,"Single Family","2013-10-14",1178.83,"2014-11-11",21000
2260929000,"Duplex","2013-10-14",1867.85,"2014-09-05",12000
2270140100,"Single Family","2013-12-02",1207.63,"2014-09-23",1000
2270153100,"Duplex","2014-06-02",1916.88,"2014-12-18",1000
2270822000,"Single Family","2013-12-02",2360.08,"2014-09-05",1000
2280064000,"Single Family","2009-07-20",397.46,"2014-06-06",5000
2280184000,"Single Family","2013-08-16",232.68,"2014-09-26",3675
2280193100,"Single Family","2013-10-14",140.21,"2014-09-11",5250
2281115000,"Single Family","2012-07-09",2042.68,"2014-09-30",1000
2281401000,"Single Family","2013-08-16",589.56,"2014-06-27",12000
2281413000,"Single Family","2010-07-26",265.38,"2014-05-21",1000
2281425000,"Single Family","2009-07-20",923.3,"2014-08-08",1000
2281430000,"Single Family","2013-10-14",139.06,"2014-11-21",1000
2290036000,"Single Family","2013-10-14",1278.95,"2014-09-12",5000
2290218000,"Single Family","2012-07-09",1246.36,"2014-04-25",5000
2290459000,"Single Family","2013-12-02",79.42,"2014-08-13",1000
2290462000,"Single Family","2013-10-14",2213.02,"2014-08-13",1000
2290517000,"Duplex","2013-10-14",706.16,"2014-11-21",11100
2290940000,"Single Family","2011-09-16",1969.08,"2014-02-27",6900
2290993000,"Single Family","2012-07-09",1388.66,"2014-06-06",5000
2290999000,"Single Family","2013-12-02",1005911.86,"2014-10-24",13650
2291009000,"Single Family","2010-07-26",4530.39,"2014-09-12",2500
2291102100,"Duplex","2013-08-16",1090.7,"2014-12-16",3041
2291229000,"Single Family","2013-08-16",988.87,"2014-06-20",6000
2300476000,"Single Family","2012-10-08",1551.08,"2014-07-08",3500
2300519000,"Single Family","2012-07-09",545.5,"2014-02-07",5000
2300643000,"Single Family","2012-10-08",1854.15,"2014-02-24",7000
2310241000,"Single Family","2011-06-29",2736.73,"2014-03-28",6150
2310285000,"Single Family","2013-10-14",789.42,"2014-11-14",7000
2310505000,"Single Family","2012-01-30",2034.67,"2014-04-17",8250
2311027000,"Duplex","2012-01-30",3030.11,"2014-07-01",12100
2320255000,"Multi-Family","2013-08-16",1303.91,"2014-09-12",21000
2320431000,"Single Family","2013-10-14",2188.87,"2014-08-26",1000
2430761000,"Single Family","2012-01-30",1693.22,"2014-10-31",8000
2430909000,"Duplex","2014-06-02",683.41,"2014-12-16",3750
2430914000,"Single Family","2013-10-14",1210.26,"2014-06-09",1008
2440455000,"Single Family","2013-08-16",202.78,"2014-02-13",12000
2450506000,"Single Family","2012-12-17",1416.23,"2014-04-25",5013
2450590000,"Duplex","2013-08-16",841.37,"2014-09-26",2250
2450811000,"Single Family","2013-08-16",691.04,"2014-01-22",3900
2451111000,"Single Family","2013-08-16",398.38,"2014-09-17",14892
2451407000,"Single Family","2011-09-16",1418.25,"2014-02-20",4500
2452198000,"Single Family","2013-08-16",798.85,"2014-03-10",15000
2460190000,"Single Family","2013-12-02",1383.39,"2014-10-31",0
2460220000,"Single Family","2012-10-08",2032.06,"2014-02-17",2584
2470516000,"Single Family","2013-10-14",120.43,"2014-07-24",1000
2470533000,"Single Family","2013-12-02",99.9,"2014-07-24",1000
2470941000,"Single Family","2013-12-02",266.94,"2014-08-13",1000
2479945000,"Single Family","2010-07-26",7379.6,"2014-11-13",2547
2480306000,"Single Family","2013-10-14",2010.54,"2014-08-29",5000
2480358000,"Single Family","2012-12-17",1150.71,"2014-04-28",6500
2480501000,"Single Family","2013-12-02",2203.75,"2014-12-05",12000
2480633000,"Single Family","2013-08-16",245.68,"2014-04-16",1
2490087000,"Single Family","2013-08-16",268.46,"2014-04-16",1
2500415000,"Single Family","2013-12-02",652.55,"2014-11-24",26000
2620362000,"Duplex","2013-10-14",1707.9,"2014-12-05",76000
2650207000,"Single Family","2013-10-14",419.91,"2014-09-05",33000
2650258000,"Single Family","2012-07-09",1304.06,"2014-02-13",5000
2650270000,"Single Family","2011-09-16",3074.75,"2014-02-13",11000
2660011000,"Single Family","2010-07-26",5819.38,"2014-10-30",27000
2660358000,"Single Family","2012-10-08",1687.81,"2014-11-04",1
2670638000,"Single Family","2013-10-14",1870.42,"2014-07-14",15750
2680533000,"Single Family","2012-07-09",834.06,"2014-02-13",5000
2681319000,"Single Family","2013-10-14",226.47,"2014-08-13",1000
2690110000,"Multi-Family","2012-07-09",5865.22,"2014-12-16",41002
2700518000,"Single Family","2013-10-14",1912.05,"2014-10-24",5000
2700706000,"Duplex","2012-07-09",6275.6,"2014-09-12",4000
2700826000,"Duplex","2013-12-02",618.66,"2014-08-22",11000
2700942000,"Single Family","2011-02-14",1148.09,"2014-01-14",7500
2701514000,"Single Family","2013-12-02",1745.38,"2014-10-09",7600
2701801000,"Single Family","2013-12-02",350.28,"2014-08-14",11000
2701823000,"Duplex","2012-12-17",2359.5,"2014-01-03",8900
2701906000,"Single Family","2013-10-14",1640.32,"2014-07-02",7000
2701933000,"Single Family","2011-11-14",2114.1,"2014-04-25",5000
2701940000,"Duplex","2011-09-16",5317.94,"2014-08-11",1000
2710215100,"Duplex","2013-08-16",203.65,"2014-04-02",13500
2710409110,"Church","2013-10-14",1206.44,"2014-11-13",10000
2710433000,"Single Family","2013-10-14",5569.38,"2014-06-27",5000
2710663000,"Duplex","2012-10-08",1909.54,"2014-02-25",7500
2710894000,"Single Family","2013-08-16",265.1,"2014-03-21",1000
2712515000,"Single Family","2013-08-16",1503.89,"2014-05-21",1026
2712517000,"Single Family","2012-12-17",5781.8,"2014-03-20",9375
2712538000,"Single Family","2013-08-16",5951.18,"2014-05-21",1019
2712600000,"Single Family","2012-10-08",736.41,"2014-04-25",5013
2721310000,"Duplex","2013-10-14",1978.65,"2014-12-09",5775
2722334000,"Duplex","2012-07-09",1996.71,"2014-03-24",3000
2722355100,"Duplex","2011-11-14",1438.73,"2014-03-21",5000
2722518000,"Single Family","2013-10-14",534.5,"2014-10-09",4172
2722717000,"Single Family","2012-12-17",797.98,"2014-06-06",5000
2722902000,"Single Family","2012-12-17",1891.73,"2014-10-30",8500
2730510100,"Duplex","2012-01-30",9996.74,"2014-04-09",5000
2731316000,"Duplex","2013-10-14",2665.59,"2014-10-30",6000
2731402000,"Single Family","2013-08-16",496.16,"2014-08-05",4950
2731409000,"Single Family","2012-07-09",2534.76,"2014-02-20",1000
2731415000,"Single Family","2011-06-29",2083.24,"2014-06-06",5625
