Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
340313000,Condominium,2016-10-31,3359.19,2017-08-03,2962
340361000,Condominium,2016-10-31,2862.19,2017-06-29,3959
340905000,Multi-Family,2016-01-04,910.26,2017-03-17,150000
341038000,Condominium,2016-01-04,4765.15,2017-09-12,1127
430206000,Condominium,2016-09-08,5675.94,2017-08-23,20095
430262000,Condominium,2016-10-31,4120.3,2017-08-16,25192
1229909100,Single Family,2016-12-12,4814.84,2017-11-30,5000
1231002000,Duplex,2016-09-08,2719.79,2017-05-19,43500
1390402000,Single Family,2016-06-13,1069.21,2017-01-19,38700
1391301000,Single Family,2016-09-08,516.12,2017-05-31,36225
1450492000,Condominium,2016-12-12,52.7,2017-05-09,6629
1509899110,Single Family,2017-06-07,7904.89,2017-10-23,25100
1550024000,Duplex,2016-07-11,669.01,2017-03-15,27000
1580162000,Single Family,2014-09-15,3386.26,2017-08-30,19500
1700812000,Single Family,2016-10-31,100.97,2017-07-26,15501
1710103000,Duplex,2016-06-13,2332.25,2017-07-14,1
1710601000,Single Family,2016-01-04,2304.42,2017-11-01,1
1730073000,Single Family,2015-06-08,1527.64,2017-08-15,16700
1730091000,Single Family,2016-12-12,27.04,2017-10-25,10500
1740034000,Single Family,2017-06-07,287.13,2017-11-17,13500
1740584000,Duplex,2016-10-31,5456.8,2017-07-26,15000
1740610000,Single Family,2015-06-08,7203.37,2017-11-30,5000
1740665000,Duplex,2016-09-08,5608.89,2017-07-18,7500
1740740000,Single Family,2016-10-31,1309.39,2017-07-19,12750
1740763000,Duplex,2016-09-08,3052.95,2017-05-30,5000
1750010000,Single Family,2016-07-11,397.81,2017-01-18,1000
1780248000,Single Family,2016-12-12,2111.97,2017-07-17,25100
1850606000,Duplex,2016-07-11,2233.93,2017-05-04,47000
1880178000,Single Family,2014-11-11,5870.93,2017-02-03,21800
1880754000,Single Family,2017-11-07,111.5,2017-12-28,8420
1890603000,Single Family,2016-07-11,1659.63,2017-08-16,27700
1900822000,Single Family,2017-06-07,1634.25,2017-11-16,11500
1902014000,Single Family,2016-12-12,3619.07,2017-12-21,4725
1909745000,Single Family,2016-10-31,23.7,2017-11-30,5000
1919951000,Duplex,2017-07-25,105.85,2017-11-01,1
1920052100,Single Family,2016-12-12,3676.79,2017-08-17,5901
1920357000,Duplex,2014-07-14,6561.41,2017-01-04,1000
1920467000,Single Family,2016-09-08,108.72,2017-11-29,2500
1920514000,Single Family,2017-06-07,818.88,2017-11-16,5250
1920810000,Single Family,2016-10-31,3437.22,2017-05-01,5900
1920820000,Single Family,2016-12-12,45.9,2017-08-28,5500
1930125000,Duplex,2016-06-13,252.79,2017-03-02,16130
1931108000,Multi-Family,2016-06-13,155.28,2017-04-19,16000
2050137000,Duplex,2016-10-31,3130.93,2017-08-22,1
2050341000,Single Family,2015-01-05,1038.78,2017-01-12,5000
2050479000,Duplex,2016-10-31,2383.45,2017-08-28,8250
