Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
340332000,Condominium,2010-07-26,"$12.632,70",2014-12-19,"$4,586,00"
340543000,Condominium,2013-12-02,"$3.833,69",2014-08-08,"$1,000,00"
340622000,Condominium,2013-12-02,"$2.436,94",2014-05-14,"$1,120,00"
340706000,Condominium,2013-10-14,"$1.658,99",2014-05-14,"$1,120,00"
340820000,Condominium,2012-10-08,"$6.869,52",2014-01-21,"$7,129,00"
341093000,Condominium,2013-08-16,"$2.363,51",2014-08-08,"$1,000,00"
430178000,Condominium,2013-08-16,"$2.010,87",2014-02-17,"$7,129,00"
430302000,Condominium,2013-12-02,"$3.699,66",2014-09-05,"$10,277,00"
830663000,Condominium,2013-12-02,"$4.705,24",2014-11-05,"$9,191,00"
1170479000,Single Family,2013-10-14,"$59,902,00",2014-12-22,"$67,500,00"
1399922100,Single Family,2012-07-09,"$3.995,37",2014-05-08,"$18,000,00"
1430623000,Single Family,2013-12-02,"$707,22",2014-07-22,"$1,00"
1450453000,Condominium,2012-10-08,"$5.256,76",2014-04-01,"$8,100,00"
1450464000,Condominium,2013-12-02,"$2.091,85",2014-11-10,"$9,519,00"
1470016000,Condominium,2013-08-16,"$2.389,35",2014-06-13,"$32,000,00"
1520210000,Single Family,2013-12-02,"$420,25",2014-11-21,"$5,500,00"
1559992214,Duplex,2013-10-14,"$637,20",2014-05-21,"$23,500,00"
1580346000,Single Family,2012-07-09,"$454,10",2014-02-13,"$5,000,00"
1580387000,Single Family,2012-10-08,"$2.069,36",2014-09-25,"$16,647,00"
1700109000,Single Family,2012-12-17,"$1.664,43",2014-02-14,"$9,750,00"
1700416000,Single Family,2013-10-14,"$712,28",2014-08-22,"$10,040,00"
1700654000,Single Family,2013-08-16,"$544,29",2014-05-02,"$15,750,00"
1709953000,Single Family,2013-10-14,"$617,64",2014-09-16,"$14,000,00"
1719682000,Single Family,2012-07-09,"$877,27",2014-03-07,"$7,800,00"
1730043000,Single Family,2014-06-02,"$429,97",2014-12-08,"$1,000,00"
1730136000,Single Family,2013-10-14,"$3.402,57",2014-07-31,"$12,000,00"
1730162000,Single Family,2013-12-02,"$346,05",2014-10-24,"$18,000,00"
1730163000,Single Family,2013-12-02,"$1.051,65",2014-08-13,"$16,875,00"
1740578000,Single Family,2012-01-30,"$2.037,43",2014-02-13,"$12,000,00"
1740615000,Single Family,2013-12-02,"$198,82",2014-12-16,"$6,375,00"
1740783000,Single Family,2011-11-14,"$3.939,29",2014-05-22,"$1,000,00"
1740836000,Single Family,2013-12-02,"$174,12",2014-10-10,"$9,375,00"
1741111000,Single Family,2013-10-14,"$183,93",2014-09-09,"$10,000,00"
1750664000,Single Family,2013-08-16,"$692,98",2014-05-23,"$5,280,00"
1820133000,Condominium,2013-10-14,"$1.017,96",2014-09-19,"$13,500,00"
1871129000,Condominium,2013-10-14,"$1.410,22",2014-07-10,"$8,649,00"
1871180000,Condominium,2010-07-26,"$867,970,00",2014-02-25,"$8,529,00"
1880320110,Single Family,2013-10-14,"$2.802,48",2014-09-19,"$16,575,00"
1880780000,Single Family,2014-06-02,"$676,14",2014-12-18,"$5,000,00"
1890057000,Single Family,2013-08-16,"$2.432,63",2014-01-28,"$1,000,00"
1890150100,Single Family,2012-07-09,"$1.379,73",2014-02-04,"$1,000,00"
1909765120,Duplex,2013-12-02,"$525,88",2014-10-17,"$12,000,00"
1910520000,Single Family,2013-12-02,"$706,84",2014-10-01,"$5,048,00"
1910521000,Single Family,2013-08-16,"$228,12",2014-02-04,"$1,000,00"
1920018000,Single Family,2013-10-14,"$981,57",2014-06-12,"$1,000,00"
1920088000,Single Family,2013-10-14,"$1.686,74",2014-08-29,"$5,000,00"
1920304000,Single Family,2013-08-16,"$631,25",2014-02-27,"$4,000,00"
1920355000,Single Family,2012-07-09,"$2.182,72",2014-06-06,"$5,000,00"
1920735000,Single Family,2012-10-08,"$3.657,79",2014-08-22,"$2,225,00"
1920815000,Single Family,2012-01-30,"$2.493,58",2014-10-22,"$6,750,00"
1920818000,Duplex,2013-08-16,"$316,22",2014-01-02,"$6,000,00"
1920821000,Single Family,2013-10-14,"$195,29",2014-08-14,"$5,000,00"
1920833000,Retail Building,2011-09-16,"$14.400,08",2014-11-04,"$20,000,00"
