"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price"
330293000,"Condominium","2014-06-02",1143.58,"2015-01-08",10600
340359000,"Condominium","2014-07-14",3529.95,"2015-06-22",7057
340538000,"Condominium","2013-10-14",2778.22,"2015-02-06",9271
340565000,"Condominium","2013-12-02",7771.12,"2015-03-16",7591
340730000,"Condominium","2015-06-08",1490.55,"2015-10-19",5000
341035000,"Condominium","2013-12-02",5204.73,"2015-01-30",1013
341052000,"Condominium","2010-07-26",15590.64,"2015-07-02",4699
390249000,"Condominium","2014-07-14",1917.8,"2015-04-14",5053
430375000,"Condominium","2015-06-08",1940.73,"2015-11-05",20000
810024000,"Single Family","2014-06-02",696.51,"2015-06-05",1
1200291000,"Single Family","2013-10-14",2432.3,"2015-04-03",30375
1231151000,"Single Family","2014-11-11",2429.09,"2015-06-17",1
1380001000,"Single Family","2015-07-13",40.25,"2015-10-05",1000
1399797140,"Duplex","2014-07-14",2230.72,"2015-08-27",25000
1399951100,"Single Family","2013-08-16",3703.81,"2015-02-27",1
1410211000,"Single Family","2015-07-13",66.75,"2015-10-19",8669
1420170000,"Single Family","2015-06-08",1222.91,"2015-11-24",1000
1430525000,"Single Family","2014-06-02",1544.99,"2015-03-27",32000
1450381000,"Condominium","2014-07-14",2874.58,"2015-04-24",9027
1450514000,"Condominium","2014-07-14",2038,"2015-03-12",8142
1530042000,"Single Family","2013-10-14",3100.09,"2015-06-17",3000
1580193000,"Single Family","2015-07-13",175.36,"2015-12-02",1000
1580278000,"Single Family","2015-01-05",61.59,"2015-07-07",5000
1700315000,"Duplex","2014-06-02",416.77,"2015-02-18",9000
1710446000,"Single Family","2015-09-14",18.6,"2015-12-02",1000
1710473100,"Single Family","2014-07-14",1170.04,"2015-04-23",5000
1710480000,"Single Family","2013-10-14",513.8,"2015-09-03",8925
1710509000,"Single Family","2014-11-11",2373.53,"2015-06-18",11000
1719576000,"Single Family","2014-09-15",1771.37,"2015-06-03",6750
1719651000,"Single Family","2015-07-13",600.13,"2015-12-08",1000
1719784000,"Single Family","2015-01-05",60.05,"2015-06-18",15000
1719846000,"Duplex","2014-07-14",2135.17,"2015-07-09",14400
1730049000,"Single Family","2013-12-02",1313.41,"2015-03-18",3000
1730133000,"Single Family","2014-11-11",100.47,"2015-06-02",1
1730150000,"Single Family","2015-01-05",888.37,"2015-11-09",5000
1730153000,"Single Family","2015-06-08",1306.04,"2015-10-05",1000
1740552000,"Duplex","2015-01-05",119.64,"2015-06-29",16100
1740805000,"Single Family","2012-07-09",7875.48,"2015-05-14",1
1741101000,"Single Family","2014-07-14",1056.11,"2015-07-13",1
1760472000,"Single Family","2015-07-13",872.44,"2015-11-10",6399
1860472000,"Condominium","2014-07-14",3014.04,"2015-08-10",1135
1860521000,"Condominium","2014-06-02",2576.8,"2015-05-18",13656
1871140000,"Condominium","2015-01-05",2232.65,"2015-09-16",11355
1880097000,"Single Family","2015-01-05",2546.39,"2015-12-08",18750
1880173000,"Single Family","2015-01-05",1160.49,"2015-10-20",23200
1880631000,"Single Family","2014-07-14",228.16,"2015-02-17",21375
1890256000,"Single Family","2013-12-02",260.9,"2015-01-09",5000
1890264000,"Single Family","2013-08-16",7387.53,"2015-01-09",5000
1900602000,"Single Family","2013-12-02",7425.04,"2015-05-08",1
1900607000,"Single Family","2013-08-16",1267.48,"2015-04-21",1
1909816000,"Single Family","2015-07-13",170.5,"2015-12-02",1000
1910514000,"Single Family","2014-06-02",2011.53,"2015-05-14",1
1919936000,"Single Family","2014-09-15",444.19,"2015-04-02",3000
1920350100,"Single Family","2013-10-14",5936.46,"2015-06-15",1
1920400000,"Single Family","2015-01-05",1730.02,"2015-07-16",3000
1920442000,"Single Family","2013-10-14",866.03,"2015-02-23",4700
1920538000,"Duplex","2014-11-11",2444.9,"2015-08-10",13500
1920540000,"Single Family","2014-06-02",547.19,"2015-03-20",7600
1920785000,"Single Family","2014-09-15",106.73,"2015-07-23",3975
1920838000,"Com/Res","2011-11-14",2711.77,"2015-11-19",7000
1921109000,"Single Family","2014-11-11",6080.88,"2015-07-08",5300
1921195000,"Single Family","2015-01-05",92.33,"2015-07-22",14300
1921268000,"Duplex","2015-06-08",1275.98,"2015-11-09",17000
1929984000,"Warehouse","2013-10-14",324.14,"2015-06-26",20000
1929985000,"Restaurant","2013-12-02",452.9,"2015-10-06",9000
1930805000,"Single Family","2015-06-08",163.29,"2015-12-08",1000
1940010000,"Single Family","2014-06-02",162.63,"2015-01-20",16125
2050641000,"Single Family","2012-10-08",4214.82,"2015-08-10",6750
2060153000,"Single Family","2014-07-14",1315.52,"2015-01-21",16500
2070147000,"Single Family","2014-09-15",1001.9,"2015-04-22",3000
2070207000,"Single Family","2014-11-11",2171.17,"2015-06-10",6825
2070230000,"Duplex","2014-07-14",339.68,"2015-04-23",3400
2070622000,"Single Family","2015-01-05",550.75,"2015-06-03",7500
