"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price "
310473000,"Single Family","2016-01-04",1965.97,"2016-08-18",15000
340672000,"Condominium","2015-07-13",1312.59,"2016-03-15",1000
341040000,"Condominium","2015-11-16",1557.17,"2016-06-01",3525
341062000,"Condominium","2016-06-13",1713.39,"2016-12-21",10076
341090000,"Condominium","2016-01-04",2684.59,"2016-10-27",1000
341113000,"Condominium","2015-06-08",1935.08,"2016-02-11",5820
430189000,"Condominium","2015-09-14",3938.03,"2016-05-03",16000
830262000,"Condominium","2014-11-11",3142.35,"2016-01-21",10568
830388000,"Condominium","2015-11-16",1185.54,"2016-04-07",15169
1210166100,"Condominium","2015-11-16",3997.17,"2016-08-30",18000
1239898100,"Single Family","2015-07-13",380.46,"2016-04-13",7500
1379916200,"Single Family","2016-01-04",943.97,"2016-07-19",1000
1391392000,"Single Family","2015-07-13",810.03,"2016-05-26",32000
1420171000,"Single Family","2016-06-13",1163.94,"2016-11-30",50000
1580196000,"Single Family","2015-11-16",252.29,"2016-06-09",5000
1580421000,"Single Family","2015-07-13",1261.96,"2016-06-01",22500
1690014110,"Single Family","2016-01-04",396.53,"2016-08-23",1000
1700410000,"Single Family","2016-01-04",1033.93,"2016-08-31",5000
1709928100,"Single Family","2015-06-08",863.6,"2016-03-01",16300
1709947100,"Single Family","2015-11-16",615.1,"2016-08-16",3000
1709956100,"Single Family","2015-07-13",1420.22,"2016-03-10",3800
1710337000,"Duplex","2015-07-13",3262.69,"2016-04-26",1000
1710556000,"Single Family","2015-11-16",5736.02,"2016-12-07",5000
1719725000,"Single Family","2015-06-08",1061.41,"2016-06-14",8900
1719795200,"Single Family","2015-07-13",778.97,"2016-06-22",20775
1719901000,"Single Family","2016-01-04",150.3,"2016-08-03",6308
1719991000,"Duplex","2013-08-16",841.85,"2016-06-08",5000
1730142000,"Single Family","2015-09-14",97.44,"2016-07-28",5000
1730159000,"Single Family","2016-01-04",67.41,"2016-03-31",1000
1740344000,"Duplex","2015-07-13",1762.97,"2016-04-28",7500
1740397000,"Duplex","2015-09-14",2016.57,"2016-06-14",1000
1740561000,"Duplex","2016-06-13",891.54,"2016-11-09",11105
1750802000,"Duplex","2015-07-13",270.72,"2016-03-17",25000
1750861200,"Single Family","2015-06-08",2319.25,"2016-06-09",1000
1840001000,"Single Family","2015-11-16",728.44,"2016-05-11",20077
1840016000,"Single Family","2015-09-14",4064.82,"2016-03-23",20250
1870319000,"Duplex","2014-07-14",9092.89,"2016-02-16",27500
1870713110,"Duplex","2015-11-16",216.04,"2016-11-10",5007
1880125000,"Single Family","2015-11-16",1588.97,"2016-04-12",14500
1880722000,"Single Family","2015-01-05",1196.86,"2016-09-27",1
1890138113,"Single Family","2016-01-04",1571.38,"2016-07-28",25000
1909686000,"Single Family","2015-11-16",266.13,"2016-06-16",5000
1909987000,"Single Family","2012-12-17",6953.54,"2016-02-11",18600
1910105000,"Single Family","2015-11-16",230.18,"2016-09-07",5100
1910312000,"Single Family","2016-01-04",203.39,"2016-09-07",12150
1910618000,"Single Family","2015-11-16",833.2,"2016-04-20",4000
1919786000,"Single Family","2016-01-04",400.05,"2016-11-21",6750
1920170000,"Single Family","2014-11-11",4297.64,"2016-04-05",2500
1920332000,"Single Family","2015-09-14",329.39,"2016-04-12",2500
1920353000,"Single Family","2015-11-16",659.93,"2016-06-21",4000
1920518000,"Single Family","2016-01-04",1275.72,"2016-07-26",2500
1921136000,"Single Family","2015-09-14",501.79,"2016-04-14",3200
1921205000,"Single Family","2015-09-14",331.51,"2016-04-20",12750
1921269000,"Single Family","2016-01-04",981.06,"2016-08-04",19500
1930425000,"Single Family","2015-07-13",3083.65,"2016-04-13",5000
1930804000,"Single Family","2012-12-17",5711.15,"2016-02-03",11500
1940533000,"Single Family","2015-11-16",2717.56,"2016-10-19",3500
1950023000,"Single Family","2016-06-13",316.7,"2016-12-08",14625
1950306000,"Single Family","2015-06-08",2452.97,"2016-04-28",14550
2050175000,"Single Family","2015-11-16",2008.2,"2016-06-01",2500
2050478000,"Single Family","2015-07-13",1933.05,"2016-02-11",10000
2060183000,"Single Family","2015-06-08",334,"2016-01-13",5000
2060874000,"Single Family","2012-12-17",20280.84,"2016-08-31",1000
2070165000,"Single Family","2016-01-04",261.35,"2016-10-13",6000
2080412000,"Single Family","2015-09-14",1672.45,"2016-05-12",5000
2080595000,"Day Care Center","2014-11-11",1683.87,"2016-01-27",4000
2080716000,"Duplex","2015-09-14",567.82,"2016-03-22",20300
2080860000,"Single Family","2015-09-14",414.24,"2016-10-27",6000
2080877000,"Duplex","2015-06-08",893.83,"2016-04-13",5000
2080880000,"Single Family","2016-01-04",4095.25,"2016-11-23",5000
2081039000,"Single Family","2016-01-04",5738.41,"2016-10-20",36000
2081053000,"Single Family","2016-01-04",138.15,"2016-08-04",2500
2081099000,"Single Family","2015-09-14",186.24,"2016-09-22",5000
2081111000,"Single Family","2013-08-16",619.19,"2016-01-13",2500
2081432000,"Duplex","2016-06-13",511.67,"2016-12-07",5000
2090116000,"Single Family","2015-07-13",160.2,"2016-10-04",3000
2090206000,"Duplex","2015-07-13",504.24,"2016-04-13",5000
2090380000,"Duplex","2015-07-13",585.84,"2016-02-02",17625
2090745000,"Single Family","2012-10-08",6794.85,"2016-05-12",5000
2100120000,"Single Family","2016-01-04",677.86,"2016-08-16",13620
2100241200,"Single Family","2015-07-13",226.01,"2016-10-21",14250
2100297000,"Single Family","2014-06-02",15902.23,"2016-01-13",5000
2100707000,"Single Family","2014-09-15",3465.86,"2016-11-22",11250
2101233000,"Single Family","2016-01-04",837.42,"2016-08-31",5000
2110178100,"Single Family","2014-06-02",1743.68,"2016-07-14",13500
2110527000,"Single Family","2016-01-04",2183.89,"2016-07-26",33000
2110650000,"Single Family","2011-02-14",2010.94,"2016-03-10",20475
2111058000,"Single Family","2015-07-13",3062.46,"2016-04-26",27000
2120139000,"Single Family","2015-09-14",539.36,"2016-04-14",15750
2130407000,"Single Family","2016-01-04",3550.6,"2016-11-01",24500
2130415000,"Single Family","2015-11-16",332.1,"2016-04-13",25000
2230727000,"Single Family","2014-09-15",1372.6,"2016-01-08",1
2240380000,"Single Family","2016-01-04",2283.72,"2016-09-22",40000
2240647000,"Single Family","2009-07-20",5529.39,"2016-02-09",1
2260977000,"Single Family","2015-09-14",2273.8,"2016-11-15",16500
2261128000,"Single Family","2015-09-14",230.91,"2016-01-28",1000
2270592000,"Single Family","2014-11-11",3174.23,"2016-10-13",45000
2271009000,"Duplex","2012-12-17",6977.86,"2016-02-09",1
2281314000,"Duplex","2015-07-13",1933.17,"2016-04-13",5000
2290104000,"Duplex","2015-11-16",1669.09,"2016-06-21",5000
2290525000,"Single Family","2016-01-04",3146.59,"2016-11-23",5000
2290956000,"Single Family","2016-01-04",5175.1,"2016-09-21",3750
2290974000,"Duplex","2015-07-13",1308.84,"2016-07-12",9000
2291120000,"Single Family","2016-01-04",1923.57,"2016-09-01",5000
2291151000,"Multi-Family","2014-11-11",2249.12,"2016-09-22",5000
2299799000,"Single Family","2015-11-16",700.66,"2016-07-12",2500
2300113000,"Single Family","2015-07-13",411.4,"2016-08-09",7500
2300448000,"Duplex","2015-06-08",1695.9,"2016-10-11",1000
2300676000,"Duplex","2016-01-04",104.85,"2016-08-23",2500
2310228000,"Single Family","2015-06-08",1809.6,"2016-02-24",3800
2310426000,"Single Family","2015-11-16",2806.24,"2016-09-28",27000
2310589000,"Single Family","2015-09-14",279.61,"2016-04-12",11275
2310605000,"Single Family","2016-06-13",152.16,"2016-12-08",1000
2310706000,"Duplex","2016-01-04",350.04,"2016-08-31",5000
2310810000,"Single Family","2017-07-25",85.74,"2016-01-18",3300
2311033000,"Single Family","2015-11-16",687.29,"2016-06-30",14400
2320242000,"Single Family","2016-01-04",674.15,"2016-08-30",15500
2320521000,"Single Family","2015-11-16",1910.55,"2016-05-18",12000
2320832000,"Single Family","2015-09-14",2792.18,"2016-04-26",1000
2430254000,"Single Family","2016-07-11",1768.32,"2016-12-15",7500
2430819000,"Duplex","2015-01-05",1280.87,"2016-07-26",20000
2440133000,"Duplex","2016-01-04",2811.2,"2016-07-07",33306
2440363000,"Duplex","2015-06-08",1962.29,"2016-02-16",8625
2440364000,"Duplex","2015-07-13",2291.66,"2016-09-22",5000
2440461000,"Single Family","2015-09-14",1434.37,"2016-12-20",21100
2440628000,"Duplex","2015-09-14",190.55,"2016-10-18",5000
2440651000,"Single Family","2015-11-16",1290.1,"2016-05-04",1
2441209000,"Single Family","2015-11-16",789.3,"2016-11-22",21000
2449956000,"Duplex","2015-07-13",3225.5,"2016-11-23",15000
2450001000,"Duplex","2015-09-14",63.73,"2016-05-19",4500
2450403000,"Single Family","2015-06-08",547.55,"2016-01-13",5000
2450507000,"Single Family","2016-01-04",1717.24,"2016-11-23",5000
2451108000,"Duplex","2015-06-08",2063.87,"2016-09-13",25000
2451117000,"Single Family","2015-09-14",1013.9,"2016-06-02",5000
2451518000,"Single Family","2015-11-16",966.7,"2016-07-28",1000
2451716000,"Duplex","2016-06-13",2032.58,"2016-11-15",16500
2459994000,"Duplex","2015-09-14",1232.78,"2016-05-19",3750
2460104000,"Single Family","2015-07-13",1614.27,"2016-03-03",5000
2470317000,"Single Family","2013-08-16",1396.8,"2016-06-29",7125
2470558000,"Single Family","2015-07-13",1859.12,"2016-02-16",1000
2470603000,"Single Family","2016-01-04",799.96,"2016-08-11",11000
2470701000,"Single Family","2016-01-04",661.72,"2016-08-23",5550
2470951000,"Single Family","2014-09-15",2884.86,"2016-06-02",5000
2470963000,"Single Family","2014-11-11",7317.81,"2016-09-01",5000
2479781000,"Single Family","2016-01-04",870.34,"2016-09-15",7725
2479796000,"Single Family","2015-07-13",1339,"2016-05-17",20000
2479876000,"Single Family","2015-06-08",797.34,"2016-09-01",5000
2479887000,"Single Family","2015-07-13",1023.84,"2016-06-24",5000
2480076000,"Single Family","2015-11-16",690.77,"2016-06-15",5000
2480078000,"Single Family","2015-06-08",341.97,"2016-01-13",5000
